words,id,speakers,total_count,group,quote
like,1,General advice,100,1,"""Pass your hope <b>like</b> a bad check."" -- Barbara Kingsolver"
know,2,General advice,85,1,"""Everything I Need to <b>Know</b> in Life I Learned on My Way to a Humiliating Audition"" -- Bradley Whitford"
day,3,General advice,69,1,"If today were the last <b>day</b> of my life, would I want to do what I am about to do today? -- Steve Jobs"
dont,4,General advice,85,1,"""<b>Don't</b> let the noise of others' opinions drown out your own inner voice."" -- Toni Morrison"
say,5,General advice,49,1,"""Believe that what you and your friends have to <b>say</b>... that the way you're saying it -- is something new in the world."" -- Robert Krulwich"
world,6,General advice,62,1,"""Cynicism is a self-imposed blindness, a rejection of the <b>world</b> because we are afraid it will hurt us or disappoint us."" -- Stephen Colbert"
go,7,General advice,54,1,"""The Dean leans into me, shakes my hand and says, ""I'm sorry."" I have no idea what she means. So I <b>go</b> back to my seat and I open it up. And, instead of having a diploma inside, there's a scrap -- a torn scrap of paper -- that has scrawled on it, ""See me."" "" -- Stephen Colbert"
way,8,General advice,75,1,"""It was beautiful, historical, artistically subtle in a <b>way</b> that science can't capture, and I found it fascinating."" -- Steve Jobs"
people,9,General advice,95,1,"""Most <b>people</b>, as they age, become less selfish and more loving."" --George Saunders"
one,10,General advice,96,1,"""So I decided to drop out and trust that it would all work out OK. It was pretty scary at the time, but looking back it was <b>one</b> of the best decisions I ever made."" -- Steve Jobs"
make,11,General advice,44,1,"""Fall down. <b>Make</b> a mess. Break something occasionally. Know that your mistakes are your own unique way of getting to where you need to be. "" -- Conan O'Brien"
want,12,General advice,55,1,"""You've got to <b>want</b> to act more than you want to be an actor. You've got to want to do whatever you want to do more than you want to be whatever you want to be."" -- Bradley Whitford"
now,13,General advice,70,1,"""<b>Now</b> that's a heavy burden to be placed on one generation by a member of another generation because it's a responsibility we ought to share, not save the world, but simply to love it..."" --Toni Morrison"
can,14,General advice,96,1,"""The exact same experience <b>can</b> mean two totally different things to two different people"" -- David Foster Wallace"
time,15,General advice,59,1,"""You'll see things collapse in your <b>time</b>, the big houses, the empires of glass. "" -- Barbara Kingsolver"
just,16,General advice,98,1,"""Please don't think that I'm giving you moral advice, or that I'm saying you are supposed to think this way, or that anyone expects you to <b>just</b> automatically do it. Because it's hard."" -- David Foster Wallace"
think,28,General advice,72,1,"""humans can learn and understand, without having experienced. They can <b>think</b> themselves into other people's places."" -- JK Rowling"
good,17,General advice,47,1,"""So let me tell you a feel-bad story that should make you feel <b>good</b>."" --Robert Krulwich"
attention,18,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",17,2,"""The really important kind of freedom involves <b>attention</b> and awareness and discipline, and being able truly to care about other people and to sacrifice for them over and over in myriad petty, unsexy ways every day."" -- David Foster Wallace"
arts,19,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",22,2,"""I have come gradually to understand that the liberal <b>arts</b> cliché about teaching you how to think is actually shorthand for a much deeper, more serious idea: learning how to think really means learning how to exercise some control over how and what you think. "" -- David Foster Wallace"
experience,20,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",28,2,"""You are your own stories and therefore free to imagine and <b>experience</b> what it means to be human without wealth."" -- Toni Morrison"
thing,21,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",38,2,"""Now, one useful <b>thing</b> you can do with an old person, in addition to borrowing money from them, or asking them to do one of their old-time "dances," so you can watch, while laughing, is ask: "Looking back, what do you regret?""" -- George Saunders"
liberal,22,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",26,2,"""I have come gradually to understand that the <b>liberal</b> arts cliché about teaching you how to think is actually shorthand for a much deeper, more serious idea: learning how to think really means learning how to exercise some control over how and what you think. "" -- David Foster Wallace"
selfish,23,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",20,2,"""How might we become more loving, more open, less <b>selfish</b>, more present, less delusional, etc., etc?"" -- George Saunders"
education,24,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",19,2,"""If I did that, I would assume your <b>education</b> had been in vain and that you were incapable of deciding for yourself what your responsibilities should be."" -- Toni Morrison"
checkout,25,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",23,2,"""Or I can choose to force myself to consider the likelihood that everyone else in the supermarket's <b>checkout</b> line is just as bored and frustrated as I am, and that some of these people probably have harder, more tedious and painful lives than I do."" -- David Foster Wallace"
default,26,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",33,2,"""It's a matter of my choosing to do the work of somehow altering or getting free of my natural, hard-wired <b>default</b> setting which is to be deeply and literally self-centered and to see and interpret everything through this lens of self."" -- David Foster Wallace"
setting,27,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",30,2,"""It's a matter of my choosing to do the work of somehow altering or getting free of my natural, hard-wired default <b>setting</b> which is to be deeply and literally self-centered and to see and interpret everything through this lens of self."" -- David Foster Wallace"
think,28,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",72,2,"""Because I don't <b>think</b> we can any longer rely on separation of powers, free speech, religious tolerance or unchallengeable civil liberties as a matter of course."" -- Toni Morrison"
adult,29,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",23,2,"""There happen to be whole, large parts of <b>adult</b> American life that nobody talks about in commencement speeches. One such part involves boredom, routine, and petty frustration. "" -- David Foster Wallace"
stuff,30,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",21,2,"""None of this <b>stuff</b> is really about morality or religion or dogma or big fancy questions of life after death."" -- David Foster Wallace"
cliché,31,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",16,2,"""So let's talk about the single most pervasive <b>cliché</b> in the commencement speech genre, which is that a liberal arts education is not so much about filling you up with knowledge as it is about quote teaching you how to think."" -- David Foster Wallace"
end,32,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",18,2,"""The great Syracuse poet, Hayden Carruth, said, in a poem written near the <b>end</b> of his life, that he was "mostly Love, now.""" -- George Saunders"
worship,33,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",36,2,"""But the insidious thing about these forms of <b>worship</b> is not that they're evil or sinful, it's that they're unconscious."" -- David Foster Wallace"
day,34,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",69,2,"""One <b>day</b> she was there, next <b>day</b> she wasn't."" -- George Saunders"
meaning,35,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",22,2,"""Now that's a heavy burden to be placed on one generation by a member of another generation because it's a responsibility we ought to share, not save the world, but simply to love it, <b>meaning</b> don't hurt it, it's already beaten and scoured and gasping for breath. "" -- Toni Morrison"
freedom,36,"David Foster Wallace, George Saunders, Toni Morrison on Happiness and the Frustrations of Daily Life",11,2,"""Our own present culture has harnessed these forces in ways that have yielded extraordinary wealth and comfort and personal <b>freedom.</b> "" -- David Foster Wallace"
